date,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed,day_of_week,month,season,is_weekend,aqi_lag_1,aqi_lag_2,aqi_lag_7,aqi_3day_avg,aqi_7day_avg,aqi_30day_avg,temp_humidity_interaction,pressure_wind_interaction,pm25_pm10_ratio,co_no2_ratio
2025-02-14,3.333333333333333,716.2479166666667,2.6133333333333333,22.270416666666662,80.37833333333333,6.680833333333333,41.6425,92.5725,6.742083333333333,24.5,61.0,1013.6,11.7,4,2,1,0,4.541666666666667,5.0,4.625,4.291666666666667,4.446428571428571,4.416666666666667,1494.5,11859.119999999999,0.4498366096860665,32.16140475617185
2025-02-15,3.0,497.61875,1.346666666666667,13.29,77.93249999999999,4.40375,33.43083333333333,79.58916666666667,3.998333333333333,24.6,70.0,1011.6,11.3,5,2,1,1,3.333333333333333,4.541666666666667,5.0,3.625,4.160714285714286,4.35,1722.0,11431.080000000002,0.4200425046954568,37.44309349562879
2025-02-16,2.6666666666666665,553.1104166666667,1.4275,14.78,74.41666666666667,5.013333333333334,30.308333333333334,62.85583333333333,4.2683333333333335,24.9,67.0,1011.8,10.3,6,2,1,1,3.0,3.333333333333333,5.0,2.9999999999999996,3.8273809523809526,4.297222222222222,1668.3,10421.54,0.48218806821661103,37.4228944007965
2025-02-17,4.75,3793.4779166666663,19.197916666666668,105.95958333333331,104.53958333333333,27.602083333333336,261.865,332.21625,29.990416666666665,25.3,60.0,1014.1,7.2,0,2,1,0,2.6666666666666665,3.0,4.666666666666667,3.4722222222222214,3.8392857142857144,4.288888888888889,1518.0,7301.52,0.7882365754587966,35.80117778428557
2025-02-18,3.208333333333333,1068.95,6.925416666666667,30.1275,49.70291666666666,9.4225,39.564166666666665,72.98416666666667,10.4725,25.4,62.0,1014.2,9.3,1,2,1,0,4.75,2.6666666666666665,3.583333333333333,3.541666666666666,3.7857142857142856,4.229166666666667,1574.8,9432.060000000001,0.5420924555495947,35.48087177891057
2025-02-19,2.7916666666666665,470.36083333333335,0.8562500000000001,10.585,71.67458333333333,4.71625,29.212083333333336,55.55916666666667,3.489583333333333,25.6,60.0,1011.8,14.9,2,2,1,0,3.208333333333333,4.75,5.0,3.5833333333333326,3.4702380952380953,4.155555555555555,1536.0,15075.82,0.52578331462045,44.436541227849986
2025-02-20,3.9166666666666665,2346.7937500000003,16.52875,71.13708333333334,75.36874999999999,20.527916666666663,110.05916666666668,164.195,22.222916666666663,25.7,45.0,1013.1,6.9,3,2,1,0,2.7916666666666665,3.208333333333333,4.541666666666667,3.305555555555555,3.3809523809523805,4.126388888888889,1156.5,6990.39,0.6702954779157173,32.98973765924143
2025-02-21,4.916666666666667,5787.849999999999,45.21416666666667,189.15625,19.95875,45.38875,299.8929166666667,395.9775,56.93416666666667,24.5,43.0,1016.1,5.4,4,2,1,0,3.9166666666666665,2.7916666666666665,3.333333333333333,3.875,3.607142857142857,4.145833333333333,1053.5,5486.9400000000005,0.7573483743629835,30.598248640485053
2025-02-22,5.0,2304.237083333333,4.8812500000000005,67.03916666666667,127.31541666666668,26.73708333333333,190.1375,248.8620833333333,24.75958333333333,23.5,51.0,1016.9,7.6,5,2,1,1,4.916666666666667,3.9166666666666665,3.0,4.611111111111111,3.892857142857143,4.176388888888889,1198.5,7728.44,0.7640275958844907,34.37150495051641
2025-02-23,3.875,1358.2304166666663,3.080416666666667,37.33625,69.59208333333333,11.166666666666666,105.96666666666664,133.55541666666667,8.879166666666666,23.0,78.0,1016.1,6.8,6,2,1,1,5.0,4.916666666666667,2.6666666666666665,4.597222222222221,4.065476190476191,4.168055555555556,1794.0,6909.48,0.7934284398042375,36.37832884363956
2025-02-24,4.416666666666667,2446.6520833333334,25.762916666666666,64.0625,23.074583333333337,24.472916666666663,117.94541666666667,151.02166666666668,20.70458333333333,23.4,79.0,1016.1,6.6,0,2,1,0,3.875,5.0,4.75,4.430555555555555,4.017857142857143,4.1625,1848.6,6706.26,0.7809834078047295,38.19164168026055
2025-02-25,4.416666666666667,4005.431666666667,34.275416666666665,112.25708333333334,61.01291666666666,26.80208333333333,239.48833333333332,290.55583333333334,30.86875,24.4,64.0,1016.5,5.7,1,2,1,0,4.416666666666667,3.875,3.208333333333333,4.236111111111111,4.190476190476191,4.147222222222222,1561.6,5794.05,0.8242420389968351,35.68088099253531
2025-02-26,3.8333333333333335,1883.3870833333333,26.263333333333332,40.83583333333333,22.050833333333333,15.264583333333334,76.35291666666667,99.69333333333331,16.86583333333333,24.1,71.0,1016.0,7.3,2,2,1,0,4.416666666666667,4.416666666666667,2.7916666666666665,4.222222222222222,4.339285714285714,4.111111111111112,1711.1000000000001,7416.8,0.7658778510845476,46.12094044558234
2025-02-27,2.458333333333333,543.515,1.1616666666666666,15.88,53.1075,6.237916666666667,23.137083333333333,48.71041666666667,4.39375,23.8,80.0,1013.4,10.4,3,2,1,0,3.8333333333333335,4.416666666666667,3.9166666666666665,3.5694444444444446,4.130952380952381,4.052777777777778,1904.0,10539.36,0.47499250553883915,34.226383235114405
2025-02-28,2.708333333333333,390.8079166666666,0.6120833333333333,8.434583333333334,101.5675,3.2845833333333334,18.85125,55.50833333333333,2.270833333333333,24.3,72.0,1011.6,15.5,4,2,1,0,2.458333333333333,3.8333333333333335,4.916666666666667,2.9999999999999996,3.8154761904761907,4.013888888888889,1749.6000000000001,15679.800000000001,0.33961116337586855,46.33398650389923
